"","country","year","co2.emissions.per.cap","electric.consumption","total.energy.use","fertility","gdp","internet.users","life.exp","military.exp.perc.gdp","population","hiv.rate"
"1","Belarus",2000,5.91,2988.71,2459.67,1.29,1380,18.69,68.01,1.26,1e+07,NA
"2","Belarus",2001,5.87,2996.81,2476.16,NA,1300,43.15,NA,1.44,9970260,NA
"3","Belarus",2002,6.03,2982.77,2539.95,1.25,1370,89.8,68.21,1.4,9925000,NA
"4","Belarus",2003,6.33,3039.1,2628.83,1.25,1610,162.76,NA,1.3,9873968,0.31
"5","Belarus",2004,NA,3143.58,2725.44,1.24,2150,250.51,68.39,1.36,9824469,NA
"6","Belarus",2005,NA,NA,NA,1.24,2760,347.23,68.48,1.24,9775591,0.34
"7","Philippines",2000,1.03,514.02,559.83,NA,1060,20.33,69.53,1.08,75800000,NA
"8","Philippines",2001,0.99,535.18,539.4,NA,1050,25.89,NA,0.99,77200000,NA
"9","Philippines",2002,0.99,539.74,537.47,3.5,1030,44.47,70.19,0.98,78700000,NA
"10","Philippines",2003,0.96,574.47,524.9,NA,1080,49.9,NA,1.03,80200000,0.1
"11","Philippines",2004,NA,597.06,542.39,NA,1200,53.91,NA,0.9,81600000,NA
"12","Philippines",2005,NA,NA,NA,3.2,1290,NA,71.04,0.82,83100000,0.1
"13","Morocco",2000,1.2,489.04,350.32,2.62,1190,7.03,68.81,4.13,28500000,NA
"14","Morocco",2001,1.32,508.1,370.93,2.5,1200,13.87,NA,4.08,28800000,NA
"15","Morocco",2002,1.32,526.4,373.38,2.5,1190,23.99,69.48,4.27,29200000,NA
"16","Morocco",2003,1.28,562.93,370.01,2.5,1340,33.87,NA,4.22,29500000,0.09
"17","Morocco",2004,NA,594.3,383.8,2.43,1570,117.3,NA,4.54,29800000,NA
"18","Morocco",2005,NA,NA,NA,2.4,1750,152.61,70.38,4.28,30100000,0.1
"19","Afghanistan",2000,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Afghanistan",2001,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Afghanistan",2002,0.03,NA,NA,NA,NA,0.04,NA,NA,NA,NA
"22","Afghanistan",2003,0.03,NA,NA,NA,NA,0.73,NA,NA,NA,0.1
"23","Afghanistan",2004,NA,NA,NA,NA,NA,0.87,NA,NA,NA,NA
"24","Afghanistan",2005,NA,NA,NA,NA,NA,1,NA,NA,NA,0.1
"25","Nicaragua",2000,0.77,349.37,558.5,3.54,760,10.16,68.87,0.78,4920286,NA
"26","Nicaragua",2001,0.8,349.6,559.75,NA,760,15.03,NA,0.71,4991475,NA
"27","Nicaragua",2002,0.78,373.83,552.24,3.3,760,17.82,69.48,0.87,5050368,NA
"28","Nicaragua",2003,0.77,373.59,613.75,NA,790,19.62,NA,0.87,5096507,0.21
"29","Nicaragua",2004,NA,416.57,643.39,NA,870,24.4,NA,0.7,5122841,NA
"30","Nicaragua",2005,NA,NA,NA,3.08,950,27.19,70.39,0.69,5149311,0.24
"31","Korea, Dem. Rep.",2000,3.52,747.14,903.3,2.02,NA,NA,63.1,NA,21900000,NA
"32","Korea, Dem. Rep.",2001,3.63,772.66,928.63,NA,NA,0,NA,NA,2.2e+07,NA
"33","Korea, Dem. Rep.",2002,3.43,751.85,882.16,2,NA,NA,63.04,NA,22100000,NA
"34","Korea, Dem. Rep.",2003,3.48,793.87,894.09,NA,NA,NA,NA,NA,22300000,0.2
"35","Korea, Dem. Rep.",2004,NA,826.54,910.17,NA,NA,NA,NA,NA,22400000,NA
"36","Korea, Dem. Rep.",2005,NA,NA,NA,1.96,NA,NA,63.92,NA,22500000,0.2
"37","Kyrgyz Republic",2000,0.94,1687.38,497.43,2.4,280,10.5,68.56,2.85,4915300,NA
"38","Kyrgyz Republic",2001,0.78,1443.05,451.08,2.4,280,30.39,68.71,2.35,4954800,NA
"39","Kyrgyz Republic",2002,0.99,1365.26,507.89,2.5,290,30.44,68.11,2.73,4993200,NA
"40","Kyrgyz Republic",2003,1.06,1646.69,531.5,2.5,340,39.69,68.26,2.87,5038600,0.1
"41","Kyrgyz Republic",2004,NA,1421.22,545.87,2.45,400,51.64,68.15,2.85,5092802,NA
"42","Kyrgyz Republic",2005,NA,NA,NA,2.41,450,54.44,68.34,NA,5143500,0.14
"43","Middle East & North Africa",2000,3.21,1075.27,1076.66,3.27,1660,9.02,68.14,4.32,2.79e+08,NA
"44","Middle East & North Africa",2001,3.21,1122.92,1104.58,NA,1710,11.96,NA,4.59,2.84e+08,NA
"45","Middle East & North Africa",2002,3.5,1176.9,1145.34,3.11,1700,28.94,68.79,4.18,2.9e+08,NA
"46","Middle East & North Africa",2003,3.43,1221.77,1157.82,NA,1810,41.89,NA,4.29,2.95e+08,0.12
"47","Middle East & North Africa",2004,NA,1290.24,1190.15,NA,1980,60.28,NA,4.28,3e+08,NA
"48","Middle East & North Africa",2005,NA,NA,NA,2.97,2220,88.9,69.67,3.73,3.06e+08,0.15
"49","Haiti",2000,0.17,38.17,256.84,4.14,500,2.52,50.67,NA,7938791,NA
"50","Haiti",2001,0.19,37.62,259.4,NA,480,3.73,NA,NA,8053271,NA
"51","Haiti",2002,0.22,32.8,287.16,3.98,440,9.79,51.42,NA,8169525,NA
"52","Haiti",2003,0.21,30.89,269.93,NA,410,18.1,NA,NA,8287465,3.81
"53","Haiti",2004,NA,30.45,262.28,NA,420,59.47,NA,NA,8406941,NA
"54","Haiti",2005,NA,NA,NA,3.75,460,70.36,52.61,NA,8527777,3.81
"55","France",2000,6.01,7491.56,4373.29,1.88,24500,143.64,78.91,2.55,58900000,NA
"56","France",2001,6.28,7596.85,4499.92,1.89,23300,264.44,79.11,2.48,59200000,NA
"57","France",2002,6.16,7571.55,4464.89,1.88,22500,302.98,79.31,2.5,59600000,NA
"58","France",2003,6.22,7792.99,4507.37,1.89,25300,361.82,79.26,2.55,60200000,0.42
"59","France",2004,NA,7899.74,4546.66,1.9,30500,392.13,80.16,2.57,60500000,NA
"60","France",2005,NA,NA,NA,1.92,34600,429.65,80.21,2.49,60900000,0.4
"61","Puerto Rico",2000,2.61,NA,NA,1.9,10560,104.82,76.08,NA,3815900,NA
"62","Puerto Rico",2001,3.75,NA,NA,NA,10950,156.28,NA,NA,3839190,NA
"63","Puerto Rico",2002,3.83,NA,NA,1.9,NA,175.41,76.54,NA,3859606,NA
"64","Puerto Rico",2003,0.54,NA,NA,1.9,NA,197.01,NA,NA,3877881,NA
"65","Puerto Rico",2004,NA,NA,NA,1.91,NA,221.3,77.49,NA,3895107,NA
"66","Puerto Rico",2005,NA,NA,NA,1.8,NA,NA,77.65,NA,3912054,NA
"67","Egypt, Arab Rep.",2000,2.06,999.41,681.41,NA,1450,6.69,68.79,2.68,67300000,NA
"68","Egypt, Arab Rep.",2001,1.93,1052.29,688.89,NA,1460,8.75,NA,2.78,68600000,NA
"69","Egypt, Arab Rep.",2002,2.02,1103.2,752.63,3.3,1400,27.18,69.61,2.83,69900000,NA
"70","Egypt, Arab Rep.",2003,1.96,1173.06,761.33,3.2,1310,42.09,NA,2.83,71300000,0.1
"71","Egypt, Arab Rep.",2004,NA,1215.34,783.03,3.1,1250,53.69,NA,2.78,72600000,NA
"72","Egypt, Arab Rep.",2005,NA,NA,NA,3.1,1250,67.54,70.53,2.8,7.4e+07,0.1
"73","Cape Verde",2000,0.31,NA,NA,3.9,1280,17.75,69.24,1.28,450597,NA
"74","Cape Verde",2001,0.32,NA,NA,NA,1240,26.01,NA,0.84,461331,NA
"75","Cape Verde",2002,0.31,NA,NA,3.77,1210,33.87,69.84,0.73,472372,NA
"76","Cape Verde",2003,0.3,NA,NA,NA,1400,41.35,NA,0.71,483675,NA
